City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,makueni boma,-1.8041,37.6203,18.86,79,64,3.07,KE,1722284583
1,warrenton,-28.114,24.8475,5.08,26,1,1.49,ZA,1722284584
2,fort mcmurray,56.7268,-111.381,28.77,42,75,5.66,CA,1722284586
3,grytviken,-54.2811,-36.5092,-1.45,79,100,2.87,GS,1722284587
4,adamstown,-25.066,-130.1015,21.73,81,40,7.36,PN,1722284588
5,mtambile,-5.3833,39.7,24.11,84,40,4.6,TZ,1722284589
6,papatowai,-46.5619,169.4708,5.03,72,100,7.16,NZ,1722284590
7,wailua homesteads,22.0669,-159.378,26.44,80,75,5.66,US,1722284592
8,cabedelo,-6.9811,-34.8339,26.37,82,13,6.17,BR,1722284593
9,college,64.8569,-147.8028,14.18,80,100,2.06,US,1722284315
10,nova vicosa,-17.8919,-39.3719,24.81,74,87,4.94,BR,1722284596
11,revelstoke,50.9832,-118.2023,20.01,64,100,5.14,CA,1722284597
12,arraial do cabo,-22.9661,-42.0278,20.98,83,75,6.17,BR,1722284599
13,puerto aysen,-45.4,-72.7,6.67,95,94,1.02,CL,1722284600
14,lebu,-37.6167,-73.65,11.07,53,100,4.19,CL,1722284601
15,pravokumskoye,44.7694,44.6472,24.35,30,0,5.2,RU,1722284602
16,port-aux-francais,-49.35,70.2167,0.45,59,100,7.59,TF,1722284603
17,tarnogskiy gorodok,60.4997,43.5761,14.28,92,100,2.12,RU,1722284605
18,port elizabeth,-33.918,25.5701,11.16,62,0,4.12,ZA,1722284606
19,waitangi,-43.9535,-176.5597,12.12,95,100,2.68,NZ,1722284607
20,tiksi,71.6872,128.8694,2.75,97,100,4.07,RU,1722284608
21,anadyr,64.75,177.4833,14.28,76,20,3.0,RU,1722284609
22,blackmans bay,-43.0167,147.3167,3.74,90,92,1.31,AU,1722284611
23,manicore,-5.8092,-61.3003,38.03,22,8,1.8,BR,1722284612
24,boca do acre,-8.7522,-67.3978,37.31,19,3,1.44,BR,1722284613
25,udachny,66.4167,112.4,7.98,75,11,3.07,RU,1722284614
26,sadalgi,16.5667,74.55,23.08,91,99,5.59,IN,1722284615
27,rtishchevo,52.2604,43.7874,16.66,85,57,3.73,RU,1722284617
28,puerto baquerizo moreno,-0.9,-89.6,22.55,73,100,6.17,EC,1722284618
29,antofagasta,-23.65,-70.4,15.6,78,3,2.62,CL,1722284427
30,thompson,55.7435,-97.8558,26.09,50,75,3.6,CA,1722284620
31,rio grande,-32.035,-52.0986,12.06,64,2,6.81,BR,1722284621
32,luanda,-8.8368,13.2343,20.22,85,98,4.05,AO,1722284427
33,bethel,41.3712,-73.414,27.14,74,75,4.12,US,1722284624
34,gadzhiyevo,69.2551,33.3362,10.02,96,100,5.33,RU,1722284625
35,lensk,60.7253,114.9278,12.56,98,15,1.47,RU,1722284626
36,haiku-pauwela,20.9219,-156.3051,27.36,64,20,7.72,US,1722284627
37,edinburgh of the seven seas,-37.0676,-12.3116,14.05,94,46,7.06,SH,1722284628
38,jamestown,42.097,-79.2353,31.12,51,40,3.6,US,1722284630
39,sunrise manor,36.2111,-115.0731,40.5,4,0,7.72,US,1722284430
40,ushuaia,-54.8,-68.3,2.79,87,75,3.6,AR,1722284632
41,albany,42.6001,-73.9662,28.16,69,100,0.89,US,1722284633
42,codrington,-38.2667,141.9667,5.22,89,100,2.99,AU,1722284634
